Taxon,Group,Plot,NumberOfSpecies,Abundance,TotalNumberOfSpecies
Sawflies,consumer1,T1_49,6,6,103
Sawflies,consumer1,T1_52,31,147,103
Sawflies,consumer1,T1_61,20,37,103
Sawflies,consumer1,T1_63,30,112,103
Sawflies,consumer1,T1_66,12,22,103
Sawflies,consumer1,T1_8,5,6,103
Sawflies,consumer1,T2_23,4,4,103
Sawflies,consumer1,T2_41,2,5,103
Sawflies,consumer1,T2_48,16,22,103
Sawflies,consumer1,T2_49,5,7,103
Sawflies,consumer1,T2_65,3,3,103
Sawflies,consumer1,T2_71,13,26,103
Sawflies,consumer1,T2_9,0,0,103
Sawflies,consumer1,T3_3,7,14,103
Sawflies,consumer1,T3_30,2,3,103
Sawflies,consumer1,T3_32,4,8,103
Sawflies,consumer1,T3_40,6,8,103
Sawflies,consumer1,T3_5,36,189,103
Sawflies,consumer1,T3_50,25,56,103
Sawflies,consumer1,T3_55,12,14,103
Sawflies,consumer1,T3_57,4,12,103
Sawflies,consumer1,T4_39,0,0,103
Sawflies,consumer1,T4_51,12,37,103
Sawflies,consumer1,T4_54,4,4,103
Sawflies,consumer1,T4_59,22,53,103
Sawflies,consumer1,T4_64,25,58,103
Sawflies,consumer1,T4_70,7,12,103
Sawflies,consumer1,T4_73,8,15,103
Sawflies,consumer1,T4_77,16,31,103
Sawflies,consumer1,T4_81,23,42,103
Sawflies,consumer1,T4_9,4,6,103
Sawflies,consumer1,TS_1,23,148,103
Snails,consumer1,T1_27,2,3,11
Snails,consumer1,T1_3,5,17,11
Snails,consumer1,T1_30,3,5,11
Snails,consumer1,T1_39,1,1,11
Snails,consumer1,T1_4,1,1,11
Snails,consumer1,T1_49,1,2,11
Snails,consumer1,T1_51,1,2,11
Snails,consumer1,T1_52,1,1,11
Snails,consumer1,T1_53,2,8,11
Snails,consumer1,T1_55,3,7,11
Snails,consumer1,T1_56,2,6,11
Snails,consumer1,T1_58,2,6,11
Snails,consumer1,T1_59,3,4,11
Snails,consumer1,T1_60,1,4,11
Snails,consumer1,T1_61,1,6,11
Snails,consumer1,T1_62,1,2,11
Snails,consumer1,T1_63,2,3,11
Snails,consumer1,T1_64,2,4,11
Snails,consumer1,T1_65,0,0,11
Snails,consumer1,T1_66,1,2,11
Snails,consumer1,T1_9,1,1,11
Snails,consumer1,T2_2,1,7,11
Snails,consumer1,T2_23,1,2,11
Snails,consumer1,T2_25,0,0,11
Snails,consumer1,T2_27,2,3,11
Snails,consumer1,T2_3,2,10,11
Snails,consumer1,T2_35,3,11,11
Snails,consumer1,T2_36,4,16,11
Snails,consumer1,T2_38,2,6,11
Snails,consumer1,T2_41,1,7,11
Snails,consumer1,T2_44,1,8,11
Snails,consumer1,T2_48,1,5,11
Snails,consumer1,T2_50,0,0,11
Snails,consumer1,T2_52,1,5,11
Snails,consumer1,T2_53,1,3,11
Snails,consumer1,T2_54,1,3,11
Snails,consumer1,T2_56,1,7,11
Snails,consumer1,T2_67,1,3,11
Snails,consumer1,T2_69,1,4,11
Snails,consumer1,T2_71,1,1,11
Snails,consumer1,T2_73,1,5,11
Snails,consumer1,T2_75,1,5,11
Snails,consumer1,T2_79,1,5,11
Snails,consumer1,T2_81,1,3,11
Snails,consumer1,T2_9,1,4,11
Snails,consumer1,T3_1,0,0,11
Snails,consumer1,T3_12,1,8,11
Snails,consumer1,T3_17,2,4,11
Snails,consumer1,T3_22,1,5,11
Snails,consumer1,T3_25,1,5,11
Snails,consumer1,T3_26,1,2,11
Snails,consumer1,T3_27,1,7,11
Snails,consumer1,T3_28,2,4,11
Snails,consumer1,T3_29,1,7,11
Snails,consumer1,T3_3,1,1,11
Snails,consumer1,T3_30,1,6,11
Snails,consumer1,T3_31,1,1,11
Snails,consumer1,T3_33,0,0,11
Snails,consumer1,T3_36,1,1,11
Snails,consumer1,T3_37,1,3,11
Snails,consumer1,T3_45,1,2,11
Snails,consumer1,T3_48,0,0,11
Snails,consumer1,T3_49,2,2,11
Snails,consumer1,T3_52,1,3,11
Snails,consumer1,T3_53,1,5,11
Snails,consumer1,T3_57,1,3,11
Snails,consumer1,T3_9,1,4,11
Snails,consumer1,T4_14,1,1,11
Snails,consumer1,T4_20,2,3,11
Snails,consumer1,T4_21,3,4,11
Snails,consumer1,T4_22,3,15,11
Snails,consumer1,T4_24,3,15,11
Snails,consumer1,T4_28,2,5,11
Snails,consumer1,T4_29,0,0,11
Snails,consumer1,T4_35,7,23,11
Snails,consumer1,T4_36,6,18,11
Snails,consumer1,T4_37,6,16,11
Snails,consumer1,T4_38,5,19,11
Snails,consumer1,T4_39,4,16,11
Snails,consumer1,T4_4,1,3,11
Snails,consumer1,T4_40,4,16,11
Snails,consumer1,T4_41,1,7,11
Snails,consumer1,T4_42,3,10,11
Snails,consumer1,T4_43,3,7,11
Snails,consumer1,T4_44,1,1,11
Snails,consumer1,T4_47,4,6,11
Snails,consumer1,T4_48,2,5,11
Snails,consumer1,T4_49,2,4,11
Snails,consumer1,T4_51,2,9,11
Snails,consumer1,T4_53,2,4,11
Snails,consumer1,T4_54,2,7,11
Snails,consumer1,T4_59,1,4,11
Snails,consumer1,T4_7,1,4,11
Snails,consumer1,T4_70,1,1,11
Snails,consumer1,T4_72,1,1,11
Snails,consumer1,T4_76,0,0,11
Snails,consumer1,T4_78,0,0,11
Snails,consumer1,T4_79,1,1,11
Snails,consumer1,T4_80,0,0,11
Snails,consumer1,T4_81,0,0,11
Snails,consumer1,T4_82,0,0,11
Snails,consumer1,T4_83,0,0,11
Snails,consumer1,T4_84,0,0,11
Snails,consumer1,TS_1,0,0,11
Snails,consumer1,TS_2,1,1,11
Snails,consumer1,TS_3,3,4,11
Snails,consumer1,TS_4,1,2,11
Snails,consumer1,TS_5,1,1,11
Dipterans,consumer1,T1_2,1,2,6
Dipterans,consumer1,T1_34,0,0,6
Dipterans,consumer1,T1_40,1,1,6
Dipterans,consumer1,T1_42,0,0,6
Dipterans,consumer1,T1_49,1,1,6
Dipterans,consumer1,T1_52,1,14,6
Dipterans,consumer1,T1_61,2,2,6
Dipterans,consumer1,T1_63,1,1,6
Dipterans,consumer1,T1_66,1,1,6
Dipterans,consumer1,T1_8,0,0,6
Dipterans,consumer1,T2_23,2,2,6
Dipterans,consumer1,T2_41,1,1,6
Dipterans,consumer1,T2_48,0,0,6
Dipterans,consumer1,T2_49,1,4,6
Dipterans,consumer1,T2_65,0,0,6
Dipterans,consumer1,T2_71,0,0,6
Dipterans,consumer1,T2_9,0,0,6
Dipterans,consumer1,T3_3,1,3,6
Dipterans,consumer1,T3_30,1,2,6
Dipterans,consumer1,T3_32,0,0,6
Dipterans,consumer1,T3_40,1,2,6
Dipterans,consumer1,T3_5,2,7,6
Dipterans,consumer1,T3_50,2,4,6
Dipterans,consumer1,T3_55,1,13,6
Dipterans,consumer1,T3_57,0,0,6
Dipterans,consumer1,T4_39,1,1,6
Dipterans,consumer1,T4_51,3,8,6
Dipterans,consumer1,T4_54,1,5,6
Dipterans,consumer1,T4_59,0,0,6
Dipterans,consumer1,T4_64,2,4,6
Dipterans,consumer1,T4_70,1,1,6
Dipterans,consumer1,T4_73,0,0,6
Dipterans,consumer1,T4_77,0,0,6
Dipterans,consumer1,T4_81,1,1,6
Dipterans,consumer1,T4_9,1,3,6
Dipterans,consumer1,TS_1,2,5,6
Moths,consumer1,T1_2,79,280,341
Moths,consumer1,T1_34,48,413,341
Moths,consumer1,T1_40,22,42,341
Moths,consumer1,T1_42,32,175,341
Moths,consumer1,T1_49,56,366,341
Moths,consumer1,T1_52,77,598,341
Moths,consumer1,T1_61,58,521,341
Moths,consumer1,T1_63,83,576,341
Moths,consumer1,T1_66,27,147,341
Moths,consumer1,T1_8,119,652,341
Moths,consumer1,T2_23,43,224,341
Moths,consumer1,T2_41,58,428,341
Moths,consumer1,T2_48,60,464,341
Moths,consumer1,T2_49,56,518,341
Moths,consumer1,T2_65,28,134,341
Moths,consumer1,T2_71,81,783,341
Moths,consumer1,T2_9,35,188,341
Moths,consumer1,T3_3,55,279,341
Moths,consumer1,T3_30,55,279,341
Moths,consumer1,T3_32,46,234,341
Moths,consumer1,T3_40,45,241,341
Moths,consumer1,T3_5,35,143,341
Moths,consumer1,T3_50,36,140,341
Moths,consumer1,T3_55,36,96,341
Moths,consumer1,T3_57,45,143,341
Moths,consumer1,T4_39,77,462,341
Moths,consumer1,T4_51,54,161,341
Moths,consumer1,T4_54,95,670,341
Moths,consumer1,T4_59,62,276,341
Moths,consumer1,T4_64,102,747,341
Moths,consumer1,T4_70,50,382,341
Moths,consumer1,T4_73,65,490,341
Moths,consumer1,T4_77,65,397,341
Moths,consumer1,T4_81,57,367,341
Moths,consumer1,T4_9,121,884,341
Moths,consumer1,TS_1,110,1091,341
TrueBugs,consumer1,T1_1,1,2,58
TrueBugs,consumer1,T1_2,6,16,58
TrueBugs,consumer1,T1_27,2,4,58
TrueBugs,consumer1,T1_29,3,14,58
TrueBugs,consumer1,T1_3,2,4,58
TrueBugs,consumer1,T1_30,2,4,58
TrueBugs,consumer1,T1_34,6,14,58
TrueBugs,consumer1,T1_38,1,2,58
TrueBugs,consumer1,T1_39,1,2,58
TrueBugs,consumer1,T1_4,0,0,58
TrueBugs,consumer1,T1_40,1,2,58
TrueBugs,consumer1,T1_42,0,0,58
TrueBugs,consumer1,T1_49,0,0,58
TrueBugs,consumer1,T1_5,0,0,58
TrueBugs,consumer1,T1_50,0,0,58
TrueBugs,consumer1,T1_51,1,4,58
TrueBugs,consumer1,T1_52,4,10,58
TrueBugs,consumer1,T1_53,0,0,58
TrueBugs,consumer1,T1_54,1,4,58
TrueBugs,consumer1,T1_55,1,2,58
TrueBugs,consumer1,T1_56,3,10,58
TrueBugs,consumer1,T1_57,3,6,58
TrueBugs,consumer1,T1_58,2,6,58
TrueBugs,consumer1,T1_59,2,6,58
TrueBugs,consumer1,T1_60,7,22,58
TrueBugs,consumer1,T1_61,9,50,58
TrueBugs,consumer1,T1_62,1,2,58
TrueBugs,consumer1,T1_63,5,16,58
TrueBugs,consumer1,T1_64,4,8,58
TrueBugs,consumer1,T1_65,3,16,58
TrueBugs,consumer1,T1_66,2,4,58
TrueBugs,consumer1,T1_8,0,0,58
TrueBugs,consumer1,T1_9,0,0,58
TrueBugs,consumer1,T2_2,0,0,58
TrueBugs,consumer1,T2_23,1,2,58
TrueBugs,consumer1,T2_25,0,0,58
TrueBugs,consumer1,T2_27,1,2,58
TrueBugs,consumer1,T2_3,1,2,58
TrueBugs,consumer1,T2_34,0,0,58
TrueBugs,consumer1,T2_35,0,0,58
TrueBugs,consumer1,T2_36,0,0,58
TrueBugs,consumer1,T2_37,0,0,58
TrueBugs,consumer1,T2_38,0,0,58
TrueBugs,consumer1,T2_39,0,0,58
TrueBugs,consumer1,T2_4,0,0,58
TrueBugs,consumer1,T2_40,0,0,58
TrueBugs,consumer1,T2_41,0,0,58
TrueBugs,consumer1,T2_42,0,0,58
TrueBugs,consumer1,T2_44,1,2,58
TrueBugs,consumer1,T2_45,0,0,58
TrueBugs,consumer1,T2_46,0,0,58
TrueBugs,consumer1,T2_47,1,2,58
TrueBugs,consumer1,T2_48,3,6,58
TrueBugs,consumer1,T2_49,0,0,58
TrueBugs,consumer1,T2_50,0,0,58
TrueBugs,consumer1,T2_51,0,0,58
TrueBugs,consumer1,T2_52,0,0,58
TrueBugs,consumer1,T2_53,0,0,58
TrueBugs,consumer1,T2_54,3,6,58
TrueBugs,consumer1,T2_55,0,0,58
TrueBugs,consumer1,T2_56,5,10,58
TrueBugs,consumer1,T2_58,0,0,58
TrueBugs,consumer1,T2_59,1,2,58
TrueBugs,consumer1,T2_60,3,10,58
TrueBugs,consumer1,T2_65,0,0,58
TrueBugs,consumer1,T2_66,1,2,58
TrueBugs,consumer1,T2_67,2,4,58
TrueBugs,consumer1,T2_68,1,2,58
TrueBugs,consumer1,T2_69,4,8,58
TrueBugs,consumer1,T2_70,2,8,58
TrueBugs,consumer1,T2_71,2,4,58
TrueBugs,consumer1,T2_73,1,2,58
TrueBugs,consumer1,T2_74,2,6,58
TrueBugs,consumer1,T2_75,2,14,58
TrueBugs,consumer1,T2_78,2,4,58
TrueBugs,consumer1,T2_79,4,10,58
TrueBugs,consumer1,T2_81,4,8,58
TrueBugs,consumer1,T2_9,0,0,58
TrueBugs,consumer1,T3_1,0,0,58
TrueBugs,consumer1,T3_10,0,0,58
TrueBugs,consumer1,T3_12,1,2,58
TrueBugs,consumer1,T3_16,1,2,58
TrueBugs,consumer1,T3_17,0,0,58
TrueBugs,consumer1,T3_20,1,4,58
TrueBugs,consumer1,T3_22,1,2,58
TrueBugs,consumer1,T3_23,0,0,58
TrueBugs,consumer1,T3_24,0,0,58
TrueBugs,consumer1,T3_25,0,0,58
TrueBugs,consumer1,T3_26,0,0,58
TrueBugs,consumer1,T3_27,1,2,58
TrueBugs,consumer1,T3_28,2,4,58
TrueBugs,consumer1,T3_29,0,0,58
TrueBugs,consumer1,T3_3,0,0,58
TrueBugs,consumer1,T3_30,0,0,58
TrueBugs,consumer1,T3_31,1,2,58
TrueBugs,consumer1,T3_32,2,6,58
TrueBugs,consumer1,T3_33,0,0,58
TrueBugs,consumer1,T3_36,1,2,58
TrueBugs,consumer1,T3_37,1,2,58
TrueBugs,consumer1,T3_38,2,4,58
TrueBugs,consumer1,T3_39,1,2,58
TrueBugs,consumer1,T3_4,0,0,58
TrueBugs,consumer1,T3_40,1,2,58
TrueBugs,consumer1,T3_42,1,2,58
TrueBugs,consumer1,T3_45,0,0,58
TrueBugs,consumer1,T3_46,0,0,58
TrueBugs,consumer1,T3_47,1,8,58
TrueBugs,consumer1,T3_48,0,0,58
TrueBugs,consumer1,T3_49,1,2,58
TrueBugs,consumer1,T3_5,2,4,58
TrueBugs,consumer1,T3_50,8,24,58
TrueBugs,consumer1,T3_51,5,28,58
TrueBugs,consumer1,T3_52,3,8,58
TrueBugs,consumer1,T3_53,7,19,58
TrueBugs,consumer1,T3_54,1,2,58
TrueBugs,consumer1,T3_55,0,0,58
TrueBugs,consumer1,T3_56,2,5,58
TrueBugs,consumer1,T3_57,0,0,58
TrueBugs,consumer1,T3_6,4,10,58
TrueBugs,consumer1,T3_9,0,0,58
TrueBugs,consumer1,T4_10,0,0,58
TrueBugs,consumer1,T4_14,1,2,58
TrueBugs,consumer1,T4_20,0,0,58
TrueBugs,consumer1,T4_21,0,0,58
TrueBugs,consumer1,T4_22,0,0,58
TrueBugs,consumer1,T4_23,0,0,58
TrueBugs,consumer1,T4_24,0,0,58
TrueBugs,consumer1,T4_26,0,0,58
TrueBugs,consumer1,T4_27,1,2,58
TrueBugs,consumer1,T4_28,0,0,58
TrueBugs,consumer1,T4_29,0,0,58
TrueBugs,consumer1,T4_35,0,0,58
TrueBugs,consumer1,T4_36,0,0,58
TrueBugs,consumer1,T4_37,0,0,58
TrueBugs,consumer1,T4_38,2,4,58
TrueBugs,consumer1,T4_39,0,0,58
TrueBugs,consumer1,T4_4,0,0,58
TrueBugs,consumer1,T4_40,0,0,58
TrueBugs,consumer1,T4_41,0,0,58
TrueBugs,consumer1,T4_42,0,0,58
TrueBugs,consumer1,T4_43,1,6,58
TrueBugs,consumer1,T4_44,1,2,58
TrueBugs,consumer1,T4_45,0,0,58
TrueBugs,consumer1,T4_46,0,0,58
TrueBugs,consumer1,T4_47,0,0,58
TrueBugs,consumer1,T4_48,0,0,58
TrueBugs,consumer1,T4_49,0,0,58
TrueBugs,consumer1,T4_50,0,0,58
TrueBugs,consumer1,T4_51,1,2,58
TrueBugs,consumer1,T4_53,0,0,58
TrueBugs,consumer1,T4_54,2,4,58
TrueBugs,consumer1,T4_59,0,0,58
TrueBugs,consumer1,T4_62,1,2,58
TrueBugs,consumer1,T4_64,4,34,58
TrueBugs,consumer1,T4_65,3,8,58
TrueBugs,consumer1,T4_7,0,0,58
TrueBugs,consumer1,T4_70,2,6,58
TrueBugs,consumer1,T4_71,2,4,58
TrueBugs,consumer1,T4_72,4,10,58
TrueBugs,consumer1,T4_73,1,2,58
TrueBugs,consumer1,T4_74,3,16,58
TrueBugs,consumer1,T4_75,4,8,58
TrueBugs,consumer1,T4_76,2,6,58
TrueBugs,consumer1,T4_77,1,6,58
TrueBugs,consumer1,T4_78,4,78,58
TrueBugs,consumer1,T4_79,4,26,58
TrueBugs,consumer1,T4_8,0,0,58
TrueBugs,consumer1,T4_80,4,14,58
TrueBugs,consumer1,T4_81,6,256,58
TrueBugs,consumer1,T4_82,2,4,58
TrueBugs,consumer1,T4_83,5,14,58
TrueBugs,consumer1,T4_84,2,6,58
TrueBugs,consumer1,T4_9,3,6,58
TrueBugs,consumer1,TS_1,5,14,58
TrueBugs,consumer1,TS_2,0,0,58
TrueBugs,consumer1,TS_3,0,0,58
TrueBugs,consumer1,TS_4,2,4,58
TrueBugs,consumer1,TS_5,0,0,58
Grasshoppers,consumer1,T1_2,2,3,11
Grasshoppers,consumer1,T1_34,0,0,11
Grasshoppers,consumer1,T1_40,1,12,11
Grasshoppers,consumer1,T1_42,0,0,11
Grasshoppers,consumer1,T1_49,0,0,11
Grasshoppers,consumer1,T1_52,0,0,11
Grasshoppers,consumer1,T1_61,3,6,11
Grasshoppers,consumer1,T1_63,0,0,11
Grasshoppers,consumer1,T1_66,1,2,11
Grasshoppers,consumer1,T1_8,1,1,11
Grasshoppers,consumer1,T2_23,0,0,11
Grasshoppers,consumer1,T2_41,0,0,11
Grasshoppers,consumer1,T2_48,0,0,11
Grasshoppers,consumer1,T2_49,1,1,11
Grasshoppers,consumer1,T2_65,1,4,11
Grasshoppers,consumer1,T2_71,0,0,11
Grasshoppers,consumer1,T2_9,0,0,11
Grasshoppers,consumer1,T3_3,1,2,11
Grasshoppers,consumer1,T3_30,0,0,11
Grasshoppers,consumer1,T3_32,0,0,11
Grasshoppers,consumer1,T3_40,0,0,11
Grasshoppers,consumer1,T3_5,8,19,11
Grasshoppers,consumer1,T3_50,1,1,11
Grasshoppers,consumer1,T3_55,0,0,11
Grasshoppers,consumer1,T3_57,1,3,11
Grasshoppers,consumer1,T4_39,0,0,11
Grasshoppers,consumer1,T4_51,0,0,11
Grasshoppers,consumer1,T4_54,1,2,11
Grasshoppers,consumer1,T4_59,2,5,11
Grasshoppers,consumer1,T4_64,0,0,11
Grasshoppers,consumer1,T4_70,1,2,11
Grasshoppers,consumer1,T4_73,1,4,11
Grasshoppers,consumer1,T4_77,0,0,11
Grasshoppers,consumer1,T4_81,0,0,11
Grasshoppers,consumer1,T4_9,0,0,11
Grasshoppers,consumer1,TS_1,0,0,11
Mice,consumer1,T1_1,0,0,4
Mice,consumer1,T1_2,0,0,4
Mice,consumer1,T1_27,1,1,4
Mice,consumer1,T1_29,0,0,4
Mice,consumer1,T1_3,0,0,4
Mice,consumer1,T1_30,0,0,4
Mice,consumer1,T1_34,0,0,4
Mice,consumer1,T1_38,0,0,4
Mice,consumer1,T1_39,0,0,4
Mice,consumer1,T1_4,0,0,4
Mice,consumer1,T1_40,0,0,4
Mice,consumer1,T1_42,0,0,4
Mice,consumer1,T1_49,0,0,4
Mice,consumer1,T1_5,0,0,4
Mice,consumer1,T1_50,0,0,4
Mice,consumer1,T1_51,0,0,4
Mice,consumer1,T1_52,0,0,4
Mice,consumer1,T1_53,0,0,4
Mice,consumer1,T1_54,0,0,4
Mice,consumer1,T1_55,0,0,4
Mice,consumer1,T1_56,0,0,4
Mice,consumer1,T1_57,0,0,4
Mice,consumer1,T1_58,0,0,4
Mice,consumer1,T1_59,0,0,4
Mice,consumer1,T1_60,0,0,4
Mice,consumer1,T1_61,0,0,4
Mice,consumer1,T1_62,0,0,4
Mice,consumer1,T1_63,0,0,4
Mice,consumer1,T1_64,1,1,4
Mice,consumer1,T1_65,1,1,4
Mice,consumer1,T1_66,0,0,4
Mice,consumer1,T1_8,0,0,4
Mice,consumer1,T1_9,0,0,4
Mice,consumer1,T2_2,0,0,4
Mice,consumer1,T2_23,0,0,4
Mice,consumer1,T2_25,1,1,4
Mice,consumer1,T2_27,0,0,4
Mice,consumer1,T2_3,0,0,4
Mice,consumer1,T2_34,0,0,4
Mice,consumer1,T2_35,0,0,4
Mice,consumer1,T2_36,0,0,4
Mice,consumer1,T2_37,1,1,4
Mice,consumer1,T2_38,0,0,4
Mice,consumer1,T2_39,1,2,4
Mice,consumer1,T2_4,0,0,4
Mice,consumer1,T2_40,1,1,4
Mice,consumer1,T2_41,0,0,4
Mice,consumer1,T2_42,0,0,4
Mice,consumer1,T2_44,0,0,4
Mice,consumer1,T2_45,0,0,4
Mice,consumer1,T2_46,0,0,4
Mice,consumer1,T2_47,0,0,4
Mice,consumer1,T2_48,0,0,4
Mice,consumer1,T2_49,0,0,4
Mice,consumer1,T2_50,0,0,4
Mice,consumer1,T2_51,0,0,4
Mice,consumer1,T2_52,0,0,4
Mice,consumer1,T2_53,0,0,4
Mice,consumer1,T2_54,0,0,4
Mice,consumer1,T2_55,0,0,4
Mice,consumer1,T2_56,1,1,4
Mice,consumer1,T2_58,0,0,4
Mice,consumer1,T2_59,0,0,4
Mice,consumer1,T2_60,0,0,4
Mice,consumer1,T2_65,0,0,4
Mice,consumer1,T2_66,0,0,4
Mice,consumer1,T2_67,0,0,4
Mice,consumer1,T2_68,0,0,4
Mice,consumer1,T2_69,0,0,4
Mice,consumer1,T2_70,0,0,4
Mice,consumer1,T2_71,0,0,4
Mice,consumer1,T2_73,0,0,4
Mice,consumer1,T2_74,0,0,4
Mice,consumer1,T2_75,0,0,4
Mice,consumer1,T2_78,0,0,4
Mice,consumer1,T2_79,0,0,4
Mice,consumer1,T2_81,0,0,4
Mice,consumer1,T2_9,0,0,4
Mice,consumer1,T3_1,0,0,4
Mice,consumer1,T3_10,0,0,4
Mice,consumer1,T3_12,1,1,4
Mice,consumer1,T3_16,0,0,4
Mice,consumer1,T3_17,0,0,4
Mice,consumer1,T3_20,0,0,4
Mice,consumer1,T3_22,0,0,4
Mice,consumer1,T3_23,0,0,4
Mice,consumer1,T3_24,0,0,4
Mice,consumer1,T3_25,0,0,4
Mice,consumer1,T3_26,0,0,4
Mice,consumer1,T3_27,0,0,4
Mice,consumer1,T3_28,0,0,4
Mice,consumer1,T3_29,0,0,4
Mice,consumer1,T3_3,0,0,4
Mice,consumer1,T3_30,0,0,4
Mice,consumer1,T3_31,0,0,4
Mice,consumer1,T3_32,0,0,4
Mice,consumer1,T3_33,0,0,4
Mice,consumer1,T3_36,0,0,4
Mice,consumer1,T3_37,0,0,4
Mice,consumer1,T3_38,0,0,4
Mice,consumer1,T3_39,0,0,4
Mice,consumer1,T3_4,0,0,4
Mice,consumer1,T3_40,0,0,4
Mice,consumer1,T3_42,0,0,4
Mice,consumer1,T3_45,0,0,4
Mice,consumer1,T3_46,0,0,4
Mice,consumer1,T3_47,0,0,4
Mice,consumer1,T3_48,0,0,4
Mice,consumer1,T3_49,0,0,4
Mice,consumer1,T3_5,0,0,4
Mice,consumer1,T3_50,0,0,4
Mice,consumer1,T3_51,0,0,4
Mice,consumer1,T3_52,0,0,4
Mice,consumer1,T3_53,0,0,4
Mice,consumer1,T3_54,0,0,4
Mice,consumer1,T3_55,0,0,4
Mice,consumer1,T3_56,0,0,4
Mice,consumer1,T3_57,0,0,4
Mice,consumer1,T3_6,0,0,4
Mice,consumer1,T3_9,0,0,4
Mice,consumer1,T4_10,0,0,4
Mice,consumer1,T4_14,0,0,4
Mice,consumer1,T4_20,0,0,4
Mice,consumer1,T4_21,0,0,4
Mice,consumer1,T4_22,0,0,4
Mice,consumer1,T4_23,0,0,4
Mice,consumer1,T4_24,0,0,4
Mice,consumer1,T4_26,0,0,4
Mice,consumer1,T4_27,0,0,4
Mice,consumer1,T4_28,0,0,4
Mice,consumer1,T4_29,0,0,4
Mice,consumer1,T4_35,0,0,4
Mice,consumer1,T4_36,0,0,4
Mice,consumer1,T4_37,0,0,4
Mice,consumer1,T4_38,0,0,4
Mice,consumer1,T4_39,0,0,4
Mice,consumer1,T4_4,0,0,4
Mice,consumer1,T4_40,0,0,4
Mice,consumer1,T4_41,0,0,4
Mice,consumer1,T4_42,0,0,4
Mice,consumer1,T4_43,0,0,4
Mice,consumer1,T4_44,0,0,4
Mice,consumer1,T4_45,0,0,4
Mice,consumer1,T4_46,0,0,4
Mice,consumer1,T4_47,0,0,4
Mice,consumer1,T4_48,0,0,4
Mice,consumer1,T4_49,0,0,4
Mice,consumer1,T4_50,0,0,4
Mice,consumer1,T4_51,0,0,4
Mice,consumer1,T4_53,0,0,4
Mice,consumer1,T4_54,1,1,4
Mice,consumer1,T4_59,0,0,4
Mice,consumer1,T4_62,0,0,4
Mice,consumer1,T4_64,0,0,4
Mice,consumer1,T4_65,0,0,4
Mice,consumer1,T4_7,0,0,4
Mice,consumer1,T4_70,0,0,4
Mice,consumer1,T4_71,0,0,4
Mice,consumer1,T4_72,0,0,4
Mice,consumer1,T4_73,0,0,4
Mice,consumer1,T4_74,0,0,4
Mice,consumer1,T4_75,0,0,4
Mice,consumer1,T4_76,0,0,4
Mice,consumer1,T4_77,0,0,4
Mice,consumer1,T4_78,0,0,4
Mice,consumer1,T4_79,0,0,4
Mice,consumer1,T4_8,0,0,4
Mice,consumer1,T4_80,0,0,4
Mice,consumer1,T4_81,0,0,4
Mice,consumer1,T4_82,0,0,4
Mice,consumer1,T4_83,0,0,4
Mice,consumer1,T4_84,0,0,4
Mice,consumer1,T4_9,0,0,4
Mice,consumer1,TS_1,0,0,4
Mice,consumer1,TS_2,1,1,4
Mice,consumer1,TS_3,0,0,4
Mice,consumer1,TS_4,0,0,4
Mice,consumer1,TS_5,1,1,4
Hoverflies,consumer1,T1_2,20,53,113
Hoverflies,consumer1,T1_34,32,66,113
Hoverflies,consumer1,T1_40,21,47,113
Hoverflies,consumer1,T1_42,4,17,113
Hoverflies,consumer1,T1_49,16,23,113
Hoverflies,consumer1,T1_52,55,199,113
Hoverflies,consumer1,T1_61,36,125,113
Hoverflies,consumer1,T1_63,38,139,113
Hoverflies,consumer1,T1_66,12,71,113
Hoverflies,consumer1,T1_8,21,58,113
Hoverflies,consumer1,T2_23,11,23,113
Hoverflies,consumer1,T2_41,10,19,113
Hoverflies,consumer1,T2_48,30,91,113
Hoverflies,consumer1,T2_49,14,22,113
Hoverflies,consumer1,T2_65,10,12,113
Hoverflies,consumer1,T2_71,10,14,113
Hoverflies,consumer1,T2_9,4,4,113
Hoverflies,consumer1,T3_3,5,11,113
Hoverflies,consumer1,T3_30,2,2,113
Hoverflies,consumer1,T3_32,4,4,113
Hoverflies,consumer1,T3_40,9,13,113
Hoverflies,consumer1,T3_5,45,180,113
Hoverflies,consumer1,T3_50,13,33,113
Hoverflies,consumer1,T3_55,21,56,113
Hoverflies,consumer1,T3_57,6,22,113
Hoverflies,consumer1,T4_39,1,2,113
Hoverflies,consumer1,T4_51,18,37,113
Hoverflies,consumer1,T4_54,7,11,113
Hoverflies,consumer1,T4_59,28,66,113
Hoverflies,consumer1,T4_64,23,79,113
Hoverflies,consumer1,T4_70,7,11,113
Hoverflies,consumer1,T4_73,7,14,113
Hoverflies,consumer1,T4_77,10,22,113
Hoverflies,consumer1,T4_81,15,24,113
Hoverflies,consumer1,T4_9,4,6,113
Hoverflies,consumer1,TS_1,30,140,113
BeesAndWasps,consumer1,T1_1,1,2,140
BeesAndWasps,consumer1,T1_2,7,17,140
BeesAndWasps,consumer1,T1_27,6,9,140
BeesAndWasps,consumer1,T1_29,6,17,140
BeesAndWasps,consumer1,T1_3,2,2,140
BeesAndWasps,consumer1,T1_30,7,23,140
BeesAndWasps,consumer1,T1_34,11,32,140
BeesAndWasps,consumer1,T1_38,5,6,140
BeesAndWasps,consumer1,T1_39,4,6,140
